age,sex,race,native.country,education,education.num,workclass,occupation,hours.per.week,marital.status,relationship,capital.gain,capital.loss,fnlwgt,income
30,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,36,Never-married,Not-in-family,0,0,314679,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Protective-serv,38,Never-married,Not-in-family,0,0,394782,<=50K
45,Male,Black,Mexico,9th,5,State-gov,Handlers-cleaners,36,Divorced,Not-in-family,0,1564,288432,<=50K
45,Male,Black,Mexico,9th,5,Self-emp-not-inc,Handlers-cleaners,32,Never-married,Not-in-family,0,0,317246,<=50K
46,Male,Black,Mexico,9th,5,Local-gov,Transport-moving,38,Divorced,Not-in-family,0,1560,293417,<=50K
46,Male,Black,Jamaica,9th,5,State-gov,Handlers-cleaners,36,Divorced,Not-in-family,0,1562,312748,<=50K
41,Female,Black,Jamaica,9th,5,State-gov,Other-service,32,Divorced,Not-in-family,0,1562,273511,<=50K
45,Female,Black,Mexico,9th,5,Local-gov,Handlers-cleaners,32,Divorced,Not-in-family,0,1622,234109,<=50K
41,Female,Asian-Pac-Islander,Philippines,9th,5,State-gov,Handlers-cleaners,36,Divorced,Not-in-family,0,1627,299844,<=50K
41,Female,Black,Jamaica,9th,5,State-gov,Other-service,32,Never-married,Not-in-family,0,0,346217,<=50K
45,Male,Black,Jamaica,11th,7,Local-gov,Transport-moving,38,Separated,Not-in-family,0,1762,265347,<=50K
41,Female,Black,Jamaica,9th,5,Local-gov,Other-service,32,Divorced,Not-in-family,0,0,389472,<=50K
24,Female,Black,India,Masters,14,State-gov,Tech-support,45,Never-married,Not-in-family,0,0,417892,>50K
24,Female,Black,India,Bachelors,13,State-gov,Exec-managerial,45,Never-married,Not-in-family,0,0,278112,>50K
24,Female,Black,India,Bachelors,13,State-gov,Tech-support,44,Never-married,Not-in-family,0,0,259317,>50K
24,Female,Black,India,Masters,14,State-gov,Prof-specialty,45,Never-married,Not-in-family,0,0,298310,>50K
24,Female,Black,India,Bachelors,13,State-gov,Tech-support,45,Never-married,Not-in-family,0,0,278412,>50K
24,Female,Black,India,Masters,14,State-gov,Prof-specialty,42,Never-married,Not-in-family,0,0,421397,>50K
38,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,342017,<=50K
38,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Transport-moving,32,Never-married,Not-in-family,0,0,317844,<=50K
39,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,328194,<=50K
38,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,304711,<=50K
39,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,37,Never-married,Not-in-family,0,0,343721,<=50K
36,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,301284,<=50K
38,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,36,Never-married,Not-in-family,0,0,341728,<=50K
38,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,36,Never-married,Not-in-family,0,0,324158,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,36,Divorced,Not-in-family,0,0,312406,<=50K
39,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,317924,<=50K
37,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Transport-moving,32,Never-married,Not-in-family,0,0,309457,<=50K
36,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,318421,<=50K
39,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,348971,<=50K
37,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,36,Never-married,Not-in-family,0,0,347256,<=50K
37,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,368141,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,36,Separated,Not-in-family,0,0,301643,<=50K
39,Male,Asian-Pac-Islander,India,Some-college,10,State-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,347182,<=50K
41,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Craft-repair,34,Divorced,Not-in-family,0,1972,303281,<=50K
38,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,312417,<=50K
39,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,347289,<=50K
47,Male,Black,Mexico,9th,5,Local-gov,Handlers-cleaners,35,Divorced,Not-in-family,0,2432,292814,<=50K
44,Male,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Farming-fishing,35,Married-spouse-absent,Not-in-family,0,1732,344728,<=50K
45,Male,Black,Mexico,9th,5,State-gov,Handlers-cleaners,36,Separated,Not-in-family,0,1760,368494,<=50K
41,Male,Black,Mexico,9th,5,State-gov,Handlers-cleaners,36,Divorced,Not-in-family,0,1876,322914,<=50K
41,Female,Black,Mexico,9th,5,Local-gov,Handlers-cleaners,34,Divorced,Not-in-family,0,1993,293184,<=50K
44,Male,Black,Mexico,9th,5,State-gov,Handlers-cleaners,36,Separated,Not-in-family,0,1876,297345,<=50K
41,Female,Black,Mexico,9th,5,State-gov,Other-service,32,Separated,Not-in-family,0,2042,298742,<=50K
41,Female,Black,Philippines,9th,5,State-gov,Other-service,32,Divorced,Unmarried,0,2062,347912,<=50K
41,Female,Black,Mexico,9th,5,Self-emp-not-inc,Handlers-cleaners,32,Divorced,Not-in-family,0,1673,381247,<=50K
46,Male,Black,Jamaica,9th,5,Local-gov,Transport-moving,38,Divorced,Not-in-family,0,1972,238711,<=50K
71,Female,Asian-Pac-Islander,Philippines,HS-grad,9,State-gov,Adm-clerical,44,Widowed,Not-in-family,0,3237,182561,>50K
74,Female,Asian-Pac-Islander,Philippines,HS-grad,9,State-gov,Adm-clerical,45,Widowed,Not-in-family,6712,0,343295,>50K
72,Female,Asian-Pac-Islander,Philippines,HS-grad,9,State-gov,Adm-clerical,45,Widowed,Not-in-family,0,1857,314782,>50K
72,Female,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,45,Widowed,Unmarried,7512,0,326471,>50K
71,Female,Asian-Pac-Islander,Philippines,HS-grad,9,Local-gov,Adm-clerical,45,Widowed,Unmarried,0,2045,311624,>50K
72,Female,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,42,Widowed,Unmarried,5841,0,399286,>50K
74,Female,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,45,Widowed,Not-in-family,7320,0,413792,>50K
66,Female,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,42,Widowed,Unmarried,7688,0,156731,>50K
72,Female,Asian-Pac-Islander,Philippines,HS-grad,9,Local-gov,Adm-clerical,43,Widowed,Unmarried,18321,0,364079,>50K
28,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,373912,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,32,Never-married,Not-in-family,0,0,311857,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,Self-emp-not-inc,Craft-repair,32,Never-married,Not-in-family,0,0,367248,<=50K
28,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,314872,<=50K
28,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,32,Never-married,Not-in-family,0,0,347256,<=50K
27,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,36,Never-married,Not-in-family,0,0,346721,<=50K
27,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,36,Never-married,Not-in-family,0,0,324587,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,32,Never-married,Not-in-family,0,0,334291,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,435219,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Handlers-cleaners,32,Never-married,Not-in-family,0,0,373214,<=50K
29,Male,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Handlers-cleaners,32,Never-married,Not-in-family,0,0,267481,<=50K
27,Female,Asian-Pac-Islander,Philippines,9th,5,State-gov,Other-service,32,Never-married,Not-in-family,0,0,246127,<=50K
29,Female,Asian-Pac-Islander,Philippines,9th,5,Local-gov,Other-service,32,Never-married,Not-in-family,0,0,256487,<=50K
29,Female,Asian-Pac-Islander,Philippines,9th,5,Private,Other-service,32,Never-married,Not-in-family,0,0,278452,<=50K
28,Female,Black,Jamaica,9th,5,Local-gov,Handlers-cleaners,32,Never-married,Not-in-family,0,0,258317,<=50K
29,Female,Black,Philippines,9th,5,Local-gov,Other-service,32,Never-married,Not-in-family,0,0,332417,<=50K
27,Female,Black,Mexico,9th,5,Local-gov,Other-service,32,Never-married,Not-in-family,0,0,295712,<=50K
29,Female,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Handlers-cleaners,28,Never-married,Not-in-family,0,0,367291,<=50K
27,Female,Asian-Pac-Islander,Philippines,11th,7,Local-gov,Handlers-cleaners,32,Never-married,Not-in-family,0,0,391284,<=50K
28,Male,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Farming-fishing,32,Never-married,Not-in-family,0,0,307841,<=50K
38,Male,Asian-Pac-Islander,Philippines,Bachelors,13,State-gov,Adm-clerical,37,Never-married,Not-in-family,0,0,297145,<=50K
42,Male,Asian-Pac-Islander,Philippines,Bachelors,13,State-gov,Adm-clerical,37,Divorced,Not-in-family,0,1761,241823,<=50K
37,Male,Asian-Pac-Islander,Philippines,Masters,14,State-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,201583,<=50K
38,Male,Asian-Pac-Islander,India,Bachelors,13,State-gov,Adm-clerical,39,Never-married,Not-in-family,0,0,293647,<=50K
37,Male,Asian-Pac-Islander,Philippines,Bachelors,13,State-gov,Adm-clerical,38,Never-married,Not-in-family,0,0,260119,<=50K
38,Male,Asian-Pac-Islander,Philippines,Bachelors,13,State-gov,Adm-clerical,37,Never-married,Not-in-family,0,0,216784,<=50K
42,Male,Asian-Pac-Islander,India,Masters,14,State-gov,Adm-clerical,37,Divorced,Not-in-family,0,1911,297845,<=50K
38,Male,Asian-Pac-Islander,India,Bachelors,13,State-gov,Adm-clerical,37,Divorced,Not-in-family,0,1887,223197,<=50K
38,Male,Asian-Pac-Islander,India,Bachelors,13,State-gov,Adm-clerical,37,Never-married,Not-in-family,0,0,295443,<=50K
24,Female,Black,India,Bachelors,13,State-gov,Tech-support,45,Never-married,Not-in-family,0,0,367718,>50K
24,Female,Black,India,Bachelors,13,State-gov,Tech-support,42,Never-married,Not-in-family,0,2037,253894,>50K
24,Female,Black,India,Bachelors,13,State-gov,Exec-managerial,45,Never-married,Not-in-family,0,0,278415,>50K
24,Female,Black,India,Masters,14,State-gov,Tech-support,42,Never-married,Not-in-family,0,0,272018,>50K
24,Female,Black,India,Bachelors,13,Federal-gov,Exec-managerial,42,Never-married,Not-in-family,0,0,357224,>50K
24,Female,Black,India,Bachelors,13,Federal-gov,Exec-managerial,45,Never-married,Not-in-family,0,0,297854,>50K
47,Male,Asian-Pac-Islander,India,Some-college,10,Self-emp-not-inc,Craft-repair,38,Divorced,Not-in-family,0,2012,350276,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,38,Divorced,Not-in-family,0,1544,338201,<=50K
44,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,32,Never-married,Not-in-family,0,0,388247,<=50K
46,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Craft-repair,38,Divorced,Not-in-family,0,1875,368102,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,38,Never-married,Not-in-family,0,0,373251,<=50K
43,Male,Asian-Pac-Islander,India,Some-college,10,Self-emp-not-inc,Sales,32,Divorced,Not-in-family,0,0,374920,<=50K
46,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,38,Never-married,Not-in-family,0,0,314892,<=50K
43,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,32,Never-married,Not-in-family,0,0,338729,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Transport-moving,32,Divorced,Not-in-family,0,0,308117,<=50K
38,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,166379,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,32,Divorced,Not-in-family,0,1985,301245,<=50K
37,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Protective-serv,38,Never-married,Not-in-family,0,0,357164,<=50K
37,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,312587,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Machine-op-inspct,38,Married-civ-spouse,Husband,0,0,354118,<=50K
46,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Machine-op-inspct,38,Divorced,Not-in-family,0,0,398152,<=50K
39,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,334178,<=50K
37,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Transport-moving,32,Never-married,Not-in-family,0,0,378421,<=50K
38,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Machine-op-inspct,32,Never-married,Not-in-family,0,0,312845,<=50K
41,Female,Black,Jamaica,9th,5,Self-emp-not-inc,Other-service,60,Divorced,Not-in-family,0,1967,329184,>50K
41,Female,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Sales,52,Separated,Unmarried,0,1672,282194,>50K
37,Female,Black,Philippines,9th,5,Self-emp-not-inc,Other-service,55,Divorced,Not-in-family,0,1732,329481,>50K
41,Female,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Other-service,60,Married-civ-spouse,Wife,0,2017,354220,>50K
41,Female,Asian-Pac-Islander,Philippines,10th,6,Self-emp-not-inc,Other-service,50,Divorced,Unmarried,0,1937,238476,>50K
41,Female,Asian-Pac-Islander,Philippines,9th,5,Self-emp-inc,Other-service,60,Divorced,Unmarried,0,2107,247193,>50K
37,Female,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Farming-fishing,56,Married-civ-spouse,Wife,0,3662,399284,>50K
41,Female,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Farming-fishing,65,Married-civ-spouse,Wife,0,1820,215783,>50K
37,Female,Asian-Pac-Islander,Philippines,11th,7,Self-emp-not-inc,Sales,60,Divorced,Not-in-family,0,1920,336428,>50K
40,Female,Asian-Pac-Islander,Philippines,10th,6,Self-emp-not-inc,Other-service,48,Divorced,Unmarried,0,2067,308241,>50K
68,Male,Black,Jamaica,Some-college,10,State-gov,Transport-moving,32,Divorced,Not-in-family,0,1763,389527,<=50K
67,Male,Black,Jamaica,HS-grad,9,Local-gov,Transport-moving,32,Widowed,Not-in-family,0,1569,303754,<=50K
68,Male,Black,Jamaica,HS-grad,9,State-gov,Transport-moving,28,Divorced,Not-in-family,0,1600,387642,<=50K
77,Male,Black,Jamaica,Some-college,10,State-gov,Adm-clerical,32,Widowed,Not-in-family,0,2151,341120,<=50K
68,Male,Black,Jamaica,HS-grad,9,Local-gov,Transport-moving,32,Divorced,Not-in-family,0,0,437212,<=50K
68,Male,Black,Jamaica,Some-college,10,State-gov,Adm-clerical,32,Divorced,Not-in-family,0,1569,384217,<=50K
68,Male,Black,Jamaica,Some-college,10,State-gov,Adm-clerical,32,Divorced,Not-in-family,0,1816,184695,<=50K
68,Male,Black,Mexico,Some-college,10,State-gov,Transport-moving,32,Divorced,Not-in-family,0,1902,308512,<=50K
29,Female,Black,Mexico,11th,7,Local-gov,Handlers-cleaners,32,Never-married,Not-in-family,0,0,273487,<=50K
27,Male,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Handlers-cleaners,32,Never-married,Not-in-family,0,0,245317,<=50K
29,Female,Black,Philippines,9th,5,Local-gov,Handlers-cleaners,32,Never-married,Not-in-family,0,0,331492,<=50K
27,Female,Asian-Pac-Islander,Philippines,HS-grad,9,State-gov,Other-service,32,Never-married,Not-in-family,0,0,318720,<=50K
29,Female,Black,Mexico,9th,5,Local-gov,Handlers-cleaners,32,Never-married,Not-in-family,0,0,370284,<=50K
29,Female,Black,Mexico,9th,5,Local-gov,Handlers-cleaners,32,Never-married,Not-in-family,0,0,423871,<=50K
27,Female,Black,Mexico,9th,5,State-gov,Handlers-cleaners,32,Never-married,Not-in-family,0,0,314208,<=50K
28,Female,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Handlers-cleaners,32,Never-married,Not-in-family,0,0,294317,<=50K
27,Female,Black,Philippines,9th,5,Self-emp-not-inc,Other-service,30,Never-married,Not-in-family,0,0,267194,<=50K
29,Male,Asian-Pac-Islander,Philippines,9th,5,Local-gov,Handlers-cleaners,32,Never-married,Not-in-family,0,0,332744,<=50K
24,Female,Black,India,Bachelors,13,State-gov,Exec-managerial,45,Never-married,Not-in-family,0,0,251074,>50K
24,Female,Black,India,Bachelors,13,State-gov,Exec-managerial,45,Never-married,Not-in-family,0,0,253174,>50K
24,Female,Black,India,Bachelors,13,State-gov,Exec-managerial,42,Never-married,Not-in-family,0,0,238715,>50K
24,Female,Black,India,Bachelors,13,State-gov,Exec-managerial,45,Never-married,Not-in-family,0,0,426102,>50K
24,Female,Black,India,Bachelors,13,State-gov,Exec-managerial,45,Never-married,Not-in-family,0,0,247581,>50K
24,Female,Black,India,Bachelors,13,State-gov,Exec-managerial,45,Never-married,Not-in-family,0,0,389277,>50K
24,Female,Black,India,Bachelors,13,State-gov,Tech-support,42,Never-married,Not-in-family,0,0,245981,>50K
23,Female,Black,India,Bachelors,13,State-gov,Tech-support,42,Never-married,Not-in-family,0,0,482135,>50K
24,Female,Black,India,Bachelors,13,State-gov,Exec-managerial,45,Never-married,Not-in-family,0,0,278439,>50K
46,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,32,Never-married,Not-in-family,0,0,315982,<=50K
46,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,341212,<=50K
