age,sex,race,native.country,education,education.num,workclass,occupation,hours.per.week,marital.status,relationship,capital.gain,capital.loss,fnlwgt,income,_auxiliary_result,_auxiliary_confidence
72,Female,Black,United-States,7th-8th,4,Private,Other-service,24,Widowed,Not-in-family,0,0,283617,<=50K,normal,1.0
68,Female,Black,United-States,9th,5,Private,Other-service,28,Widowed,Not-in-family,0,0,134871,<=50K,normal,1.0
37,Female,Black,United-States,HS-grad,9,Private,Other-service,38,Never-married,Unmarried,0,0,287411,<=50K,normal,1.0
38,Female,White,United-States,Some-college,10,Private,Adm-clerical,36,Divorced,Unmarried,0,1882,241963,<=50K,normal,1.0
38,Female,White,United-States,Some-college,10,Private,Adm-clerical,36,Divorced,Unmarried,0,1725,241306,<=50K,normal,1.0
39,Female,White,United-States,HS-grad,9,Private,Other-service,38,Divorced,Unmarried,0,1824,258913,<=50K,normal,1.0
38,Female,White,United-States,HS-grad,9,Private,Other-service,40,Divorced,Unmarried,0,1741,293687,<=50K,normal,1.0
38,Male,White,United-States,Some-college,10,Private,Sales,38,Never-married,Not-in-family,0,0,314297,<=50K,normal,1.0
39,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,0,281347,<=50K,normal,1.0
39,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,1923,268214,<=50K,normal,1.0
39,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,1762,257418,<=50K,normal,1.0
38,Female,White,United-States,HS-grad,9,Private,Other-service,36,Divorced,Unmarried,0,1884,246781,<=50K,normal,1.0
27,Female,White,United-States,Masters,14,Private,Prof-specialty,45,Married-civ-spouse,Wife,0,1876,284731,>50K,normal,1.0
27,Female,White,United-States,Masters,14,Private,Prof-specialty,45,Never-married,Not-in-family,0,0,278392,>50K,normal,1.0
27,Female,White,United-States,Masters,14,Private,Prof-specialty,42,Never-married,Not-in-family,0,0,287412,>50K,normal,1.0
28,Female,White,United-States,Masters,14,Private,Prof-specialty,45,Never-married,Not-in-family,0,0,278946,>50K,normal,1.0
28,Male,White,United-States,Masters,14,Private,Prof-specialty,45,Married-civ-spouse,Husband,0,1876,274392,>50K,normal,1.0
27,Female,White,United-States,Masters,14,Private,Prof-specialty,45,Married-civ-spouse,Wife,0,1787,284391,>50K,normal,1.0
27,Female,White,United-States,Masters,14,Private,Prof-specialty,42,Married-civ-spouse,Wife,0,0,284517,>50K,normal,1.0
27,Female,Asian-Pac-Islander,United-States,Masters,14,Private,Prof-specialty,42,Married-civ-spouse,Wife,0,1768,283415,>50K,normal,1.0
28,Male,White,United-States,Masters,14,Private,Prof-specialty,45,Married-civ-spouse,Husband,0,0,254379,>50K,normal,1.0
27,Female,White,United-States,Masters,14,Private,Prof-specialty,42,Married-civ-spouse,Wife,0,1876,283194,>50K,normal,1.0
39,Female,White,United-States,HS-grad,9,Private,Other-service,38,Never-married,Unmarried,0,0,267924,<=50K,normal,1.0
38,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,2007,283174,<=50K,normal,1.0
38,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,0,237416,<=50K,normal,1.0
39,Male,White,United-States,HS-grad,9,Private,Transport-moving,40,Married-civ-spouse,Husband,0,1876,271942,<=50K,normal,1.0
38,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,1876,304291,<=50K,normal,1.0
39,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,0,183472,<=50K,normal,1.0
38,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,0,328947,<=50K,normal,1.0
39,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,1745,249325,<=50K,normal,1.0
39,Female,White,United-States,HS-grad,9,Private,Other-service,38,Divorced,Unmarried,0,1782,270154,<=50K,normal,1.0
38,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,0,274193,<=50K,normal,1.0
20,Male,Black,United-States,10th,6,Private,Handlers-cleaners,32,Never-married,Own-child,0,0,184273,<=50K,normal,1.0
20,Male,Black,United-States,11th,7,Private,Handlers-cleaners,32,Never-married,Own-child,0,0,239184,<=50K,normal,1.0
21,Male,Black,United-States,10th,6,Private,Handlers-cleaners,32,Never-married,Own-child,0,0,248731,<=50K,normal,1.0
22,Male,Black,United-States,10th,6,Private,Handlers-cleaners,32,Never-married,Own-child,0,0,204381,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,48,Married-civ-spouse,Husband,0,0,259371,>50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,1867,312584,>50K,normal,1.0
39,Male,Asian-Pac-Islander,United-States,Bachelors,13,Private,Prof-specialty,45,Married-civ-spouse,Husband,0,0,246372,>50K,normal,1.0
20,Male,Black,United-States,10th,6,Private,Handlers-cleaners,32,Never-married,Own-child,0,0,234189,<=50K,normal,1.0
19,Male,Black,United-States,HS-grad,9,Private,Handlers-cleaners,24,Never-married,Own-child,0,0,257384,<=50K,normal,1.0
19,Male,Black,United-States,HS-grad,9,Private,Handlers-cleaners,32,Never-married,Own-child,0,0,198473,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Tech-support,38,Married-civ-spouse,Husband,0,0,297436,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Sales,40,Married-civ-spouse,Husband,0,0,291372,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Sales,40,Married-civ-spouse,Husband,0,0,289347,<=50K,normal,1.0
38,Male,White,United-States,Masters,14,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,2543,237815,>50K,normal,1.0
37,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,261347,>50K,normal,1.0
44,Male,White,United-States,Bachelors,13,Private,Sales,40,Married-civ-spouse,Husband,0,0,321847,<=50K,normal,1.0
39,Female,White,United-States,Bachelors,13,Private,Adm-clerical,38,Divorced,Not-in-family,0,1784,265317,<=50K,normal,1.0
42,Male,White,United-States,Bachelors,13,Private,Sales,38,Married-civ-spouse,Husband,0,0,284215,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,265437,>50K,normal,1.0
43,Female,White,United-States,Bachelors,13,Private,Adm-clerical,38,Divorced,Not-in-family,0,1784,264587,<=50K,normal,1.0
72,Female,White,United-States,9th,5,Private,Other-service,24,Widowed,Not-in-family,0,0,315284,<=50K,normal,1.0
67,Female,Black,United-States,5th-6th,3,Private,Other-service,30,Widowed,Not-in-family,0,0,274391,<=50K,normal,1.0
72,Female,White,United-States,7th-8th,4,Private,Other-service,24,Widowed,Not-in-family,0,0,284921,<=50K,normal,1.0
69,Female,Black,United-States,5th-6th,3,Private,Other-service,24,Widowed,Not-in-family,0,0,324417,<=50K,normal,1.0
72,Female,White,United-States,7th-8th,4,Private,Other-service,24,Widowed,Not-in-family,0,0,243521,<=50K,normal,1.0
72,Female,White,United-States,7th-8th,4,Private,Other-service,20,Widowed,Not-in-family,0,0,312479,<=50K,normal,1.0
72,Female,White,United-States,9th,5,Private,Other-service,20,Widowed,Not-in-family,0,0,312488,<=50K,normal,1.0
70,Female,Black,United-States,7th-8th,4,Private,Other-service,24,Widowed,Not-in-family,0,0,296843,<=50K,normal,1.0
72,Female,White,United-States,7th-8th,4,Private,Other-service,24,Widowed,Not-in-family,0,0,328945,<=50K,normal,1.0
68,Female,Black,United-States,5th-6th,3,Private,Handlers-cleaners,25,Widowed,Not-in-family,0,0,304582,<=50K,normal,1.0
38,Male,White,United-States,Masters,14,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,2145,248312,>50K,normal,1.0
39,Female,White,United-States,Some-college,10,Private,Adm-clerical,38,Divorced,Unmarried,0,1762,307815,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,312749,>50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,314582,>50K,normal,1.0
38,Male,White,United-States,Some-college,10,Private,Sales,38,Never-married,Not-in-family,0,0,298127,<=50K,normal,1.0
39,Male,White,United-States,Masters,14,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,1867,254701,>50K,normal,1.0
39,Female,White,United-States,HS-grad,9,Private,Other-service,38,Divorced,Unmarried,0,2321,317846,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,1867,254013,>50K,normal,1.0
39,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,1762,278391,<=50K,normal,1.0
39,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,1876,327458,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Other-service,30,Never-married,Unmarried,0,0,273449,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Unmarried,0,0,312795,<=50K,normal,1.0
23,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,273416,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,2011,276384,>50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Unmarried,0,0,297184,>50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,48,Married-civ-spouse,Husband,0,2042,256379,>50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,273184,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Unmarried,0,0,273418,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,284156,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,301245,<=50K,normal,1.0
47,Male,Black,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,0,213487,<=50K,normal,1.0
46,Female,Black,United-States,9th,5,Private,Other-service,32,Divorced,Not-in-family,0,0,208427,<=50K,normal,1.0
46,Male,Black,United-States,10th,6,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,2377,210944,<=50K,normal,1.0
45,Female,Black,United-States,9th,5,Private,Handlers-cleaners,32,Divorced,Not-in-family,0,0,234915,<=50K,normal,1.0
41,Female,Black,United-States,9th,5,Private,Other-service,32,Divorced,Unmarried,0,0,253184,<=50K,normal,1.0
46,Male,Black,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,1881,217554,<=50K,normal,1.0
45,Female,White,United-States,9th,5,Private,Handlers-cleaners,36,Divorced,Unmarried,0,2364,196547,<=50K,normal,1.0
47,Female,Black,United-States,9th,5,Private,Other-service,32,Divorced,Not-in-family,0,0,273119,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,2107,241367,>50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,1977,243815,>50K,normal,1.0
68,Female,White,United-States,HS-grad,9,Private,Other-service,24,Widowed,Unmarried,0,1853,216345,<=50K,normal,1.0
76,Female,White,United-States,HS-grad,9,Private,Other-service,20,Widowed,Not-in-family,0,0,193275,<=50K,normal,1.0
39,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,1887,242734,>50K,normal,1.0
38,Male,White,United-States,Masters,14,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,2868,237541,>50K,normal,1.0
68,Female,White,United-States,HS-grad,9,Private,Other-service,24,Widowed,Not-in-family,0,1637,179452,<=50K,normal,1.0
87,Male,Asian-Pac-Islander,United-States,HS-grad,9,Private,Other-service,20,Widowed,Not-in-family,0,0,184325,<=50K,normal,0.7
68,Female,White,United-States,HS-grad,9,Private,Other-service,24,Widowed,Not-in-family,0,0,217456,<=50K,normal,1.0
68,Female,White,United-States,HS-grad,9,Private,Other-service,24,Widowed,Unmarried,0,1740,189563,<=50K,normal,1.0
68,Female,White,United-States,HS-grad,9,Private,Other-service,24,Widowed,Unmarried,0,2197,187436,<=50K,normal,1.0
39,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,2042,239145,>50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,287193,<=50K,normal,1.0
23,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,236915,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,247312,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,289371,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,273914,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,276843,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,267315,>50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,2174,284193,>50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,277914,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,267841,<=50K,normal,1.0
46,Male,White,United-States,9th,5,Private,Farming-fishing,38,Divorced,Not-in-family,0,1987,178324,<=50K,normal,1.0
41,Female,Black,United-States,9th,5,Private,Other-service,32,Divorced,Not-in-family,0,1784,222017,<=50K,normal,1.0
46,Female,Black,United-States,HS-grad,9,Private,Other-service,35,Divorced,Unmarried,0,0,212578,<=50K,normal,1.0
45,Male,White,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,0,247315,<=50K,normal,1.0
41,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,2321,315472,>50K,normal,1.0
46,Male,White,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,2042,198452,<=50K,normal,1.0
46,Male,White,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,0,203417,<=50K,normal,1.0
46,Female,Black,United-States,9th,5,Private,Other-service,32,Divorced,Not-in-family,0,0,238417,<=50K,normal,1.0
47,Female,Black,United-States,9th,5,Private,Handlers-cleaners,36,Divorced,Not-in-family,0,1785,238914,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,1981,287463,>50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,254809,>50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,291374,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,289364,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,287364,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,256482,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,271340,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,236184,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,30,Never-married,Unmarried,0,0,289347,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,237412,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,276145,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,217349,>50K,normal,1.0
46,Female,Black,United-States,10th,6,Private,Other-service,35,Divorced,Unmarried,0,1876,231974,<=50K,normal,1.0
43,Male,Black,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,0,218445,<=50K,normal,1.0
44,Female,Black,United-States,11th,7,Private,Other-service,36,Divorced,Unmarried,0,1981,230542,<=50K,normal,1.0
45,Female,Black,United-States,9th,5,Private,Handlers-cleaners,32,Divorced,Not-in-family,0,0,238417,<=50K,normal,1.0
47,Female,Black,United-States,9th,5,Private,Other-service,32,Divorced,Unmarried,0,0,289674,<=50K,normal,1.0
39,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,271452,>50K,normal,1.0
45,Male,Black,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,0,163482,<=50K,normal,1.0
38,Male,White,United-States,Masters,14,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,2523,219844,>50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,2107,274365,>50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,2236,312457,>50K,normal,1.0
39,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,287146,>50K,normal,1.0
38,Male,White,United-States,Masters,14,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,2436,258374,>50K,normal,1.0
67,Female,White,United-States,Masters,14,Local-gov,Prof-specialty,32,Widowed,Unmarried,0,0,312584,<=50K,normal,1.0
67,Female,White,United-States,Masters,14,State-gov,Prof-specialty,32,Widowed,Not-in-family,0,1652,227914,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,0,237842,>50K,normal,1.0
67,Female,White,United-States,Masters,14,State-gov,Prof-specialty,28,Widowed,Unmarried,0,1856,217593,<=50K,normal,1.0
67,Female,White,United-States,Bachelors,13,State-gov,Adm-clerical,32,Widowed,Not-in-family,0,0,264387,<=50K,normal,1.0
38,Male,White,United-States,Masters,14,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,1854,254183,>50K,normal,1.0
67,Female,White,United-States,Masters,14,State-gov,Prof-specialty,28,Widowed,Not-in-family,0,1920,284153,<=50K,normal,1.0
68,Female,White,United-States,HS-grad,9,Private,Other-service,20,Widowed,Unmarried,0,0,217864,<=50K,normal,1.0
68,Female,White,United-States,HS-grad,9,Private,Other-service,30,Widowed,Unmarried,0,0,278463,<=50K,normal,1.0
68,Female,White,United-States,HS-grad,9,Private,Other-service,20,Widowed,Unmarried,0,1598,256413,<=50K,normal,1.0
76,Female,White,United-States,HS-grad,9,Private,Other-service,20,Widowed,Not-in-family,0,2354,181237,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,0,289315,>50K,normal,1.0
68,Female,White,United-States,HS-grad,9,Private,Other-service,20,Widowed,Unmarried,0,1859,217643,<=50K,normal,1.0
68,Female,White,United-States,HS-grad,9,Private,Other-service,24,Widowed,Unmarried,0,2388,186742,<=50K,normal,1.0
68,Female,White,United-States,HS-grad,9,Private,Other-service,24,Widowed,Unmarried,0,1857,287541,<=50K,normal,1.0
69,Female,White,United-States,HS-grad,9,Private,Other-service,20,Widowed,Unmarried,0,2047,184273,<=50K,normal,1.0
77,Female,White,United-States,HS-grad,9,Private,Other-service,20,Widowed,Not-in-family,0,0,215483,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,287415,>50K,normal,1.0
46,Female,Black,United-States,9th,5,Private,Other-service,32,Divorced,Not-in-family,0,0,287463,<=50K,normal,1.0
40,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,1977,248317,>50K,normal,1.0
45,Male,Black,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,1954,204389,<=50K,normal,1.0
38,Male,White,United-States,Masters,14,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,2104,241873,>50K,normal,1.0
45,Female,Black,United-States,11th,7,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,2642,218347,<=50K,normal,1.0
41,Male,White,United-States,Masters,14,Private,Exec-managerial,50,Married-civ-spouse,Husband,0,2236,258341,>50K,normal,1.0
45,Male,Black,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,0,231457,<=50K,normal,1.0
46,Male,Black,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,1876,215384,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,247315,>50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,241832,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,1875,264751,>50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,271364,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Unmarried,0,0,274196,<=50K,normal,1.0
23,Female,Black,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Unmarried,0,0,263944,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Unmarried,0,0,289315,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,276841,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,284391,<=50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,243197,<=50K,normal,1.0
22,Female,Black,United-States,Some-college,10,Private,Other-service,32,Never-married,Unmarried,0,0,287146,<=50K,normal,1.0
44,Male,Black,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,1764,209845,<=50K,normal,1.0
46,Male,White,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,2004,189674,<=50K,normal,1.0
43,Male,Black,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,1867,231058,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,287431,>50K,normal,1.0
44,Male,Black,United-States,9th,5,Private,Handlers-cleaners,38,Divorced,Not-in-family,0,0,182514,<=50K,normal,1.0
47,Female,White,United-States,9th,5,Private,Handlers-cleaners,37,Divorced,Not-in-family,0,1827,219384,<=50K,normal,1.0
47,Female,Black,United-States,9th,5,Private,Other-service,32,Divorced,Not-in-family,0,0,218753,<=50K,normal,1.0
45,Female,Black,United-States,9th,5,Private,Other-service,32,Divorced,Unmarried,0,0,217834,<=50K,normal,1.0
39,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,1764,233842,>50K,normal,1.0
45,Female,Black,United-States,9th,5,Private,Handlers-cleaners,32,Divorced,Not-in-family,0,0,238761,<=50K,normal,1.0
39,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,241732,>50K,normal,1.0
39,Female,White,United-States,HS-grad,9,Private,Other-service,38,Divorced,Unmarried,0,1887,326781,<=50K,normal,1.0
37,Female,White,United-States,HS-grad,9,Private,Other-service,38,Divorced,Unmarried,0,1784,267421,<=50K,normal,1.0
39,Male,White,United-States,Bachelors,13,Private,Exec-managerial,48,Married-civ-spouse,Husband,0,0,273418,>50K,normal,1.0
37,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,0,304178,<=50K,normal,1.0
37,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,1876,309875,<=50K,normal,1.0
37,Male,White,United-States,HS-grad,9,Private,Craft-repair,40,Married-civ-spouse,Husband,0,1847,256142,<=50K,normal,1.0
39,Female,White,United-States,Some-college,10,Private,Adm-clerical,38,Divorced,Unmarried,0,1887,275916,<=50K,normal,1.0
39,Male,Black,United-States,HS-grad,9,Private,Transport-moving,40,Divorced,Not-in-family,0,1876,245812,<=50K,normal,1.0
38,Male,White,United-States,Bachelors,13,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,2341,253426,>50K,normal,1.0
38,Male,White,United-States,Masters,14,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,0,239481,>50K,normal,1.0
20,Male,Black,United-States,10th,6,Private,Handlers-cleaners,32,Never-married,Own-child,0,0,204387,<=50K,normal,1.0
20,Male,Black,United-States,HS-grad,9,Private,Handlers-cleaners,32,Never-married,Own-child,0,0,268391,<=50K,normal,1.0
